productId,catalogueKey,basePrice,offerPrice,stockStatus
prod_1785656884530_b2b059,b2b,445,423,available
prod_1785656884530_b2b060,b2b,177,159,available
prod_1785656884530_b2b061,b2b,238,214,available
prod_1785656884530_b2b062,b2b,256,230,available
prod_1785656884530_b2b063,b2b,225,203,available
prod_1785656884530_b2b064,b2b,224,202,available
prod_1785656884530_b2b065,b2b,310,295,available
prod_1785656884530_b2b066,b2b,230,219,available
prod_1785656884530_b2b067,b2b,274,260,available
prod_1785656884530_b2b068,b2b,300,285,available
prod_1785656884530_b2b069,b2b,229,218,available
prod_1785656884530_b2b070,b2b,267,254,available
prod_1785656884530_b2b071,b2b,215,194,available
prod_1785656884530_b2b072,b2b,207,186,available
prod_1785656884530_b2b073,b2b,456,442,available
prod_1785656884530_b2b074,b2b,540,535,available
prod_1785656884530_b2b075,b2b,690,683,available
prod_1785656884530_b2b076,b2b,233,231,available
prod_1785656884530_b2b077,b2b,298,283,available
prod_1785656884530_b2b078,b2b,270,267,available
prod_1785656884530_b2b079,b2b,342,339,available
prod_1785656884530_b2b080,b2b,300,297,available
prod_1785656884530_b2b081,b2b,1000,950,available
prod_1785656884530_b2b082,b2b,1025,974,available
prod_1785656884530_b2b083,b2b,456,433,available
prod_1785656884530_b2b084,b2b,354,350,available
prod_1785656884530_b2b085,b2b,348,345,available
prod_1785656884530_b2b086,b2b,126,125,available
prod_1785656884530_b2b087,b2b,356,352,available
prod_1785656884530_b2b088,b2b,414,410,available
prod_1785656884530_b2b089,b2b,346,343,available
prod_1785656884530_b2b090,b2b,324,321,available
prod_1785656884530_b2b091,b2b,122,121,available
prod_1785656884530_b2b092,b2b,264,261,available
prod_1785656884530_b2b093,b2b,222,220,available
0e653a49-0baa-4c86-9aa3-4e5ca463e237,b2b,551,534,available
55ec7a24-fce8-406d-b954-7583ec014684,b2b,551,534,available
476545b0-eb02-44d7-b2e9-3828ee2c72be,b2b,580,551,available
49508cce-ca6e-471d-9cc3-c23f88aa89bd,b2b,214,212,available
018bef75-a8f1-4cd2-ba7a-fb87b81982d6,b2b,563,535,available
ab440b1e-8f54-4c13-b381-1bd73bf7636a,b2b,538,511,available
36598420-1fac-4d15-aaaa-191fdf258707,b2b,438,429,available
486de3c6-6f02-4d11-99a1-d904fe658a20,b2b,585,544,available
485355c5-bb25-49e7-ab23-9b28a99ee3b6,b2b,878,843,available
61d20919-de1d-4030-b406-4cbc671342bf,b2b,538,511,available
fabdb9dd-d3b3-4971-9828-2fa063b14273,b2b,338,304,available
a59a14b2-0754-4cb2-8a01-2866dc089339,b2b,3120,3089,available
0d9a6c45-b131-4a1e-9027-96af42265fa0,b2b,1140,1129,available
68629244-9baa-4e67-ab55-de2e2b04919a,b2b,173,173,available
ad78b512-5e34-489e-9642-ad846e5a336c,b2b,227,227,available
e1f0a41f-dbeb-4880-85f7-42e8b3f49235,b2b,188,188,available
e7f1bb81-eede-42f1-809a-a4ad6e288e46,b2b,144,144,available
5de0272f-3122-4dc6-ba3d-08d04fdca570,b2b,144,144,available
88a6bab4-d835-4932-a905-781bac2bc068,b2b,104,104,available
55cf4c37-23d4-4f64-afe2-be4866cd90f3,b2b,278,278,available
aec31524-8931-4021-847a-74ac7efc0a60,b2b,269,269,available
bf724dab-ef5a-4a19-bc80-d03b50a1022a,b2b,214,214,available
ebaf6b6a-daa3-4733-9a15-77e4d7a14b2e,b2b,468,463,available
prod_1785403518809_bg1zrod59,b2b,234,232,available
656546de-769f-483e-a962-086deac094e6,b2b,336,333,available
7c8eb52b-d390-40a4-939a-2a30e37805f6,b2b,222,220,available
